0	17EmL	1
1	RUiAj	1
2	8IMXp	1
3	9sZ9k	1
4	Hgl0N	1
5	yuciE	1
6	in6Lu	1
7	ukdWm	1
8	PYKvN	1
9	k4EYs	1
10	C3xkE	1
11	2tNwn	1
12	Pk1D3	1
13	xcHkq	1
14	waNNr	1
15	3H1gP	1
16	pQJuh	1
17	ykKIW	1
18	crLMX	1
19	pgAgu	1
20	y2eU4	1
21	aK6lD	1
22	U4gtv	1
23	jfCWp	1
24	pMwad	1
25	2H5au	1
26	R6TOl	1
27	k459N	1
28	xNyve	1
29	PYPEg	1
30	Zb8fz	1
31	0s637	1
32	EpGbd	1
33	5q6ig	1
34	M57Hc	1
35	2NrY4	1
36	zvFro	1
37	Q2dv7	1
38	Cvyrq	1
39	AaiT9	1
40	a8BuH	1
41	kBtcG	1
42	xDANu	1
43	3iBvr	1
44	4Ge8a	1
45	RWnm4	1
46	TiwAP	1
47	aU2fW	1
48	Q8Kim	1
49	4rQo0	1
50	6m42m	1
51	ndyIB	1
52	eIKIX	1
53	KOLq2	1
54	bzpQV	1
55	irGPh	1
56	uArIb	1
57	k0wDU	1
58	Y5hRR	1
59	k1wVY	1
60	Ygz3Y	1
61	meelU	1
62	THb2v	1
63	JIoSi	1
64	P882r	1
65	H7IfW	1
66	jzTlO	1
67	O0hau	1
68	qlk1J	1
69	mfuA7	1
70	R8qJf	1
71	saG7o	1
72	bSmFb	1
73	hmOU8	1
74	Xz5fv	1
75	P3SZd	1
76	fJvIJ	1
77	m6P1Q	1
78	ERTXf	1
79	fK7jO	1
80	exfrs	1
81	tNu5j	1
82	pIWJl	1
83	xJVeI	1
84	vcRss	1
85	MXarf	1
86	po9rH	1
87	K4rW6	1
88	Jj7rr	1
89	iBP2h	1
90	oBPUs	1
91	c69DL	1
92	nwjBj	1
93	xuigU	1
94	9T5uo	1
95	zPx3w	1
96	4V6p9	1
97	oN0gy	1
98	EmDe3	1
99	zclPx	1
